We	O	abstract
divide	O	abstract
polymer	O	abstract
electrolytes	O	abstract
into	O	abstract
the	O	abstract
two	O	abstract
large	O	abstract
categories	O	abstract
of	O	abstract
solid	B-Material-final	abstract
polymer	I-Material-final	abstract
electrolytes	I-Material-final	abstract
and	O	abstract
gel	B-Material-final	abstract
polymer	I-Material-final	abstract
electrolytes	I-Material-final	abstract
(	O	abstract
GPE	B-Material-final	abstract
)	O	abstract
.	O	abstract

Solid	O	abstract
polymer	O	abstract
electrolytes	O	abstract
still	O	abstract
suffer	O	abstract
from	O	abstract
poor	O	abstract
ionic	B-Characteristic-name	abstract
conductivity	I-Characteristic-name	abstract
,	O	abstract
which	O	abstract
is	O	abstract
lower	O	abstract
than	O	abstract
10−5	B-Value-conductivity	abstract
S	I-Value-conductivity	abstract
cm−1	I-Value-conductivity	abstract
.	O	abstract

In	O	abstract
order	O	abstract
to	O	abstract
further	O	abstract
improve	O	abstract
the	O	abstract
ionic	B-Characteristic-name	abstract
conductivity	I-Characteristic-name	abstract
,	O	abstract
numerous	O	abstract
new	O	abstract
types	O	abstract
of	O	abstract
lithium	O	abstract
salt	O	abstract
have	O	abstract
been	O	abstract
studied	O	abstract
and	O	abstract
inorganic	O	abstract
fillers	O	abstract
have	O	abstract
been	O	abstract
incorporated	O	abstract
into	O	abstract
solid	O	abstract
polymer	O	abstract
electrolytes	O	abstract
.	O	abstract

In	O	abstract
the	O	abstract
section	O	abstract
on	O	abstract
gel	O	abstract
polymer	O	abstract
electrolytes	O	abstract
,	O	abstract
the	O	abstract
types	O	abstract
of	O	abstract
plasticizer	O	abstract
and	O	abstract
preparation	O	abstract
methods	O	abstract
of	O	abstract
GPEs	B-Material-final	abstract
are	O	abstract
summarized	O	abstract
.	O	abstract

Although	O	abstract
the	O	abstract
ionic	B-Characteristic-name	abstract
conductivity	I-Characteristic-name	abstract
of	O	abstract
GPEs	O	abstract
can	O	abstract
reach	O	abstract
10−3	B-Value-conductivity	abstract
S	I-Value-conductivity	abstract
cm−1	I-Value-conductivity	abstract
,	O	abstract
their	O	abstract
low	O	abstract
mechanical	O	abstract
strength	O	abstract
and	O	abstract
poor	O	abstract
interfacial	O	abstract
